title,level
Introduce a developer command to reset user data in web,Lowest
Use separate data folders when running as admin to prevent permission issues,Lowest
Prompt for workspace on startup,Lowest
Allow user to select File System (Provider) when user selects `Save As`,Low
Ability to disable forler's terminal in multi-root workspace,Lowest
Gulp auto detect with gulpfile.mjs,High
Allow menu `alt` property to be set to a submenu,Medium
"Add ability for extensions to have ""checked"" commands",Lowest
Git: Add tags to '...' menu,Lowest
Support detail text in settings editor dropdown,Lowest
Terminal: remember layout between restarts,Lowest
Can't select multiple lines in VSCode web,Lowest
Option to change the title of the integrated terminal in vscode?,Lowest
FR: Support ThemeIcons in gutterIconPath,Low
Diff editor: show path as description,Lowest
Use sound effects to improve accessibility,Lowest
Codelens should pick up `editor.gotoLocation.multipleReferences` setting,Lowest
Debug toolbar: allow to position anywhere,Lowest
"Emmet combine ""Wrap Individual Lines with Abbreviation"" and ""Wrap with Abbreviation"" commands",Lowest
Terminal passthrough commands/keyboard shortcuts,Lowest
Perf telemetry for completions,Lowest
Support keyboard shortcut for selecting the launch target,Lowest
Add option to make task panel persistent (not accidentally closing it by any key press),Lowest
Introduce a built-in theme for proton color blind people,Lowest
Add ability to hide outputs in Notebooks,Lowest
Send `vscode.workspace.onDidCreateFiles` events for folders,Lowest
Provide command to get package manager,Lowest
Views with focus should be treated the same as hover,Lowest
Allow horizontal scrolling WITH word wrapping enabled!,Lowest
URL: Allow `file://` URLs in hovers to escape to the OS,Lowest
Move tab (left|right),Lowest
Provide Button to Show Additional Detail When Extension Install or Update Fails,Lowest
A command to open a workspace and navigate to a file in it,Lowest
"Add ""Focus into Activity Bar"" action",Lowest
[VCQ][DevDiv_VSO][VSCode][Placeholder meaning check],Lowest
"[Screencast Mode] When a keystroke is pressed, it should display the name of the action alongside what keystroke was triggered ",Lowest
A keybinding when-clause for if the cursor is on a followable link,Lowest
Allow file system provider schemes to participate in history even after close,Lowest
Finalize FoldingRangeProvider.onDidChangeFoldingRanges,Lowest
notebook integration for markdown <code> cells,Lowest
Multi root workspace - Variable for the current file's workspace directory,Lowest
Picking a different typescript.tsdk from a list / use in a multi-root workspace with yarn2 pnp,Low
Forward delete default keybinding on MacOS,Lowest
Customize links discovery/handling in Debug Console,Lowest
Active indent guide scope improvement,Medium
why fold not work for import...this a bug?,Lowest
Provide dedicated keyboard shortcuts for changing active stack frame,Lowest
Custom Editors should have ability to use normal diff view,Lowest
Re-run last launch command with state,Lowest
Generate keyboard reference sheet from VS Code actual key bindings,Lowest
Add explorer context menu to install an extension from a VSIX,Lowest
Add support for filtering in the output window,Medium
"Add the ""View as Array"" feature",Lowest
Tab characters are the wrong width with proportional fonts.,Medium
"""Close All Editor Groups"" should not close pinned tabs",Lowest
Quick way to navigate to a folder in the explorer (left side),Lowest
Adapt mouse drag scroll sensitivity depending on file line count,Lowest
"Git ""rebase onto selected"" support",Lowest
API to trigger a refresh of the OUTLINE (DocumentSymbols),Highest
Closing the last editor should move focus back to explorer view,Lowest
Right Click #ffffff hex colors or square brings up color pallet in PHP and HTML files,Lowest
Cannot pick tabs vs spaces in notebook,Lowest
Avoid the reload required for each change in the snippets.json file,Lowest
Offer to open workspace in root even when telemetry has been disabled and in web,Lowest
Pinned tabs: allow for themeable colours for tabs that are pinned,Lowest
Appearance settings should be specific to each window,Lowest
Improve window.withProgress in status bar to use a static spin icon,Lowest
Extensions: Support extension installation/activation policies,Lowest
[bat] switch back to REM as comment token  ,Lowest
Find box should close on after creating selections,Lowest
Add Selections to line start / end,Lowest
Math support in native notebook markdown cells,Lowest
Extension API for shell quoting & escaping,Lowest
"confirm prompt for ""enable all extensions"" command",Lowest
Feature: Open new links to extensions in a VS Code tab itself,Lowest
Add case styles converter to user snippets,Lowest
Badges for extension activity bar icons,High
Show Activity Bar on Mouse Hover,High
Make Enter key behavior not depend on last element clicked during find+replace,Lowest
Native Notebooks - Add Code Cell ,Lowest
Editor Find doesn't support args passed via keybinding,Lowest
Allow for camel case matches in editor history,Lowest
Feature request: Support VSIX installation/upgrade from a workspace file,Lowest
[folding] Add option to collapse/hide stdout lines in file w/ language support,Lowest
More keybindings for splits in quick open,Lowest
Comments View doesn't show a hover with the full text ,Lowest
Git: Support recursive git clone,Lowest
Terminal : support selection buffer paste,Lowest
"""\s"" should match new line (""\n"")",Lowest
Detaching from a parent debugging session leaves a zombie child session,Lowest
Add setting to disable automatic port fowarding.,Lowest
allow codicons to support file icons with $(...) replacement syntax,Lowest
Rotated/vertical text,Lowest
Diff action buttons are too far from the gutter,Lowest
"[css] CSS unknown property for ""content-visibility""",Lowest
Add an explorer/title menu contribution point,Lowest
"""Protect"" a VS Code window so that files open in a different window",Lowest
Add support for vertical tabs,Highest
[remote] Allow to open remote files through `vscode://vscode-remote/`,Medium
Drag Explorer to bottom,Lowest
No Log (Telemetry) Output in Codespaces,Lowest
Allow quick open to open multiple files,Lowest
"""flip the diff""",Medium
Support syntax highlight of typescript expressions in multiline jsdoc comments,Lowest
Pinned tabs need more prominence,Lowest
Support nested .vscode folders,Highest
"Update to latest icon theme, to include Gemfile icon",Lowest
Support for Apple Pencil scribble,Lowest
Expose output from executable debug adapter,Lowest
Option to display colorDecorators at right of CSS colors,Lowest
Undo for selection,Medium
Add a TextEditor focus or state property,Lowest
Don't add files to recent list when using --diff,Lowest
Specify one or both files as immutable when using --diff,Lowest
Allow editor title to be specified when using --diff option,Lowest
Watchlist Of Extensions,Lowest
Allow specifying status bar item background (api),Lowest
automatically remember indentation settings,Lowest
"Add ""Replace Remote"" to Settings Sync Turn On options",Lowest
Allow contributions to the search viewlet context menu,Lowest
Notify users of auto-import or make it more obvious (ES6),Lowest
Kernel discovery for renderers in notebooks,Lowest
Add when clause context for language at active cursor,Highest
Theme variables for notebook renderers,Lowest
Remove extra whitespace from labels for unsaved tabs,Lowest
Activity bar context menu actions not aligned ,Lowest
Hovering over breadcrumbs should jump in the editor similar to arrow keys,Lowest
Add ability to go back one level in breadcrumb,Lowest
Setting to follow to running cells in a notebook,Lowest
Make it possible to expand empty selection into current word when Ctrl+C or Ctrl+X,Lowest
"Add commands ""workbench.action.focus(.*)Group"" that do not wrap",Highest
Relative Line Numbers: an option to have 0 as the current line number.,High
Optionally open empty splits instead of copying split window,Lowest
"""Insert line above"" indents incorrectly when there is a blank line above",Lowest
Cursor Blinking in Integrated Terminal,Lowest
Please supply the ability to sort files by modified time asc/desc  in groups in source  control's Changes view when view as list,Lowest
[Request] Warn on rename refactoring conflicts js/ts,Lowest
Undo of rename Java file has no effect,Lowest
Use setting links in `Preferred .* Theme` descriptions,Lowest
Show the help text/tip in the bottom of debug hover to switch to normal hover,Lowest
Add Pin/Unpin to open editors context menu,Lowest
Provide extensions with a persistent logging channel,Lowest
Add a command to hide a view,Lowest
Fallback format on save mode when VCS not activated.,Lowest
VSCode cannot start when filename argument contains colons in certain cases,Lowest
"""View: Toggle Render Whitespace"" should open a submenu to choose what variant of whitespace to render",Lowest
Allow to group editor tabs,Highest
Add Uri parameter to moveFileToTrash command,Lowest
Allow goToSymbol via copy pasted path,Lowest
introduce source.removeUnusedImport action as an opposite to source.addMissingImports,Lowest
Search files by name with current selection,Lowest
Context menu doesn't work with a Touchscreen,Lowest
Show all files of all window tabs,Lowest
Debug Variables View does not show multiple variables from Debug Adapter when names are not unique,Lowest
ctrl+[ Doesn't exit the command pallet or file search,Lowest
Dual screen: relative rather than absolute terminal width,Lowest
Selecting 2 color values and changing them both with color picker,Lowest
Explore integration between extensions view and GitHub Sponsors,Lowest
Add option to only show file name (not full file path) when hovering a file,Lowest
History on Debug Console filter lost,Lowest
Cheatsheet for chords,Medium
Support smart selection for markdown,Lowest
Finding and replacing  text in selection cannot be automatically adaptive. ,Lowest
Improve default diff view w/ metadata changes,Lowest
Convert indentation to spaces for selection,High
Add configuration to show snippets only after a certain number of characters,Lowest
append option for vscode.workspace.fs.writeFile,Lowest
[theme] improve HC detection on MacOS,Lowest
Asynchronously show completion items from different sources or extensions!,Lowest
Add explicit theme colors for custom dialogs,Lowest
Request: Typographer option in Markdown preview,Highest
[html] hover for html entities,Lowest
Theme selector should not appear when installing an extension that contains a main,Lowest
Javascript debugger should avoid program end before last step.,Lowest
add setting to collapse  outline view  ,Lowest
Support tab completion / custom key handlers in QuickPick,Lowest
[wsl] Support trash on remote,Lowest
Layout issue with repl filter in debug pane,Lowest
Ability to toggle warnings and problems squiggly lines,Lowest
Editor not scrolling to centre when cursor out of view,Lowest
"""Preserve case"" replace option : add a key shortcut",Lowest
Please expose TRACK_DISPOSABLES to extensions,Lowest
Preview Notebook Editor does not support markdown,Medium
Allow ${Tokenizing} Capture Group in Search and Replace,Medium
"Add a new right-aligned ""description"" property to TreeItems",Lowest
Find/Replace in Selection doesn't obey current selections when not whole lines,Lowest
"Add a reason or ""hidden by user"" flag to the TreeViewVisibilityChangeEvent",Lowest
Simple file dialog: use auto-complete style in the input box,Low
Accept arguments for external console opening,Lowest
Search view: I ofter hit the dismiss button by accident,Lowest
Settings sync - client side telemetry,Lowest
Different Profiles for different type of Development,High
Option to combine tabs and title bar,Highest
Open side by side direction to the left,Lowest
Autohide Minimap,Highest
Opening projects directories in the same way a file is open,Lowest
Add selection to next Find match does not work with Regex Find Mode,Lowest
"`workbench.action.navigateUp`  should navigate to the last focused view, not the rightmost one",Lowest
Add `workbench.action.navigateLast` command to navigate to the last view,Lowest
"Extended `#region` support (outline, refactor region name)",Lowest
Keyboard shortcuts for Markdown in Jupyter notebooks,Medium
Add support for new `editor.renderWhitespace` in the View menu,Lowest
Smart Quoting,Medium
search then navigateBack usually takes you to the wrong place,Lowest
"New ""colorCustomizations"" options ""editor.findMatchForeground"" & ""editor.findMatchHighlightForeground""",Lowest
quick open should have prefill highlighted text,Lowest
[UI-Theme] Sidebar color selection/hover/focus should be independent from List,Lowest
Enable Pin Icon To Always Remain Visible,Medium
Tasks returned from `fetchTasks` do not contain `dependsOn` information,Lowest
Multi root workspace - task dependency between projects,Lowest
Show branch name in Welcome screen,Lowest
Save all in all opened windows,Lowest
Enable to contribute content to references view,Lowest
Separate Open Editors from Explorer (thus creating a Vertical Tab Bar),Lowest
"Allow decoding, editing and re-encoding of binary files",Highest
Web: cannot drop VSIX into extensions view to install,Lowest
"when stashing, use commit message if populated",Lowest
Makefile should auto-indent after first line of a rule,Medium
Settings editor accessibility improvements,Lowest
Change Language Mode drop-down should allow filtering by file extension,Lowest
Asterisks not working in console filter,Lowest
debug hover's maximum size is too small ,Lowest
Support syntax-highlight CompletionItem.detail when shown above the documentation,Lowest
Show whitespace in whitespace diff,Lowest
Delete the settings of an extension when uninstall,Lowest
下划线能不能不要波浪的 换成简单点的 ,Lowest
Allow discovering where the webview is positioned,Lowest
Dialog Window: Highlights,Lowest
Enabling using Transform to Lower/Upper/Title Case without changing String Literals,High
Investigate predefined file filters search,Low
Allow fzf style query in workspaceSymbols,Low
Rank exact match over history matches,Highest
[json] add quick fix for string to number conversion,Lowest
Investigation: Installing the Remote WSL extension out of the box,Lowest
Add setting to disable 'retry as sudo',Lowest
add sign in natively to program,Lowest
"Implement the DAP ""invalidated"" event",Lowest
Show enumDescriptions in settings UI dropdowns,Lowest
Windows Setup: Add additional metadata to inno_updater.exe,Lowest
First run user onboard experience,Highest
Explore improvements to welcome pages,Medium
Explore customizing the markdown renderer for notebooks,Lowest
editor.renderWhitespace should have option for selection+trailing,High
Explore API implications for allowing multiple notebook extensions to share the same file format,Lowest
"Feature: In Screencast Mode, keep the current line fixed in the center, so it doesn't get obstructed by the Screencast Mode hotkey displays.",Lowest
Editor preview mode for debugging only,Lowest
add breadcrumbs to peek view,Lowest
MacOS: remember minimized state of windows when restarting the app,Lowest
Git: Support optional branch picking in the repository picker,Lowest
Add `selectBrackets:false/true` argument to `editor.action.smartSelect.expand` (keybinding),Lowest
Add NotebookCell#index api,Lowest
Provide API for extensions to move cursor without affecting history,Lowest
New file and folder support ../ syntax to create in parent,Lowest
Get File Name from user via Explorer (sideclick -> new file) method instead of InputBox in Extension,Lowest
The breakpoints UI is really confusing,Lowest
Custom label tags in resent list ,Lowest
Multiple Cursors - Preserve Case,High
API: Add enablement to welcome view buttons,Lowest
Text-editor context menu is too crowded,Lowest
"Publish Linux ARM deb, rpm and snap to repositories",Medium
Allow createWebviewPanel in row above active column,Lowest
Add replaceWidgetVisible context to allow different keybindings for find vs. find-and-replace,Lowest
Support AVIF encoded image previews,Lowest
Support to resolve code actions,Lowest
DAP sources are case sensitive on insensitive filesystems,Lowest
Add a new settings for the debug toolbar location,Lowest
Views contribution point should support codicons,Lowest
Allow number values for terminal.integrated.fontWeight and fontWeightBold,Lowest
Way to discover remote authority in empty window,Lowest
Clear recent files without clearing recent projects,Lowest
Provide option to default to github provider git.api.getRemoteSources and potentially list org repos.,Lowest
Re-enable some js/ts features in PRs,Lowest
Markdown: Different Slugify Function Implementations for Header Anchors,Medium
Adding the shadow to the right-border of the line-numbering,Lowest
Debounce code lens request based on average duration,Lowest
Retry as Admin/Sudo to create a new file,Medium
restart task with keyboard only,Lowest
Report progress in taskbar,Lowest
[json] JSON language server not localized,Lowest
Rate limit Global storage updates during Settings Sync,Lowest
Allow seperate tooltip on webview title,Lowest
Nested snippets,Highest
Provide an option for TextEdit to respect the indentation level,Lowest
Allow contextually visible whitespace,Lowest
Publisher name in package.json,Highest
Exception information is not accessible,Lowest
Add resource context key with full resource path as string,Lowest
Find and Replace - REGEX named capture group support,High
Problem editor overlay should auto dismiss after problem is rectified.,Lowest
Notebook: support line numbers and actions to toggle it,Lowest
Details in Notebook kernel picker ,Lowest
Support all languages from VS Code in Notebook cells,Lowest
setting UI: support color settings,Lowest
No overflow action when notebook cell status bar items are wrapped,Lowest
Show editors stacked,Lowest
[json] Format selection doesn't fix indentation,Lowest
[json] performance warning message can't be ignored,Lowest
"Better informational message when trying to format large files, or allow formatting anyway.",Lowest
Support filtering on input only,Lowest
"Status bar toggle should switch between On, Smart, Off",Lowest
Notebooks: notebookProvider config to support untitled files better,Lowest
Make language tokens and scopes part of command list,Lowest
Extension recommendations should not be shown after I uninstalled an extension,Lowest
Breakpoint group.,Lowest
Notebook diff: needs some UX love,Lowest
Recommendation is too aggressive on first run,Lowest
"Don't show recommendation on every window, every reload",Lowest
Mouse scroll-wheel support for iPad OS,Lowest
[bat] change comment token to @rem,Lowest
Support --no-verify variant of commit,Lowest
Add streaming support in vscode,Lowest
Show number of filtered debug console items,Lowest
Go to next error/warning/info,Lowest
Cannot copy/paste or drap/drop cells across notebook,Lowest
Add event listeners to vscode.Tunnel,Lowest
